ОФЗ-ПД 26209 20/07/22,SU26209RMFS5,,,,,,,37.90,,,,,,37.90,,,,,,37.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ОФЗ-ПД 26211 25/01/23,SU26211RMFS1,34.90,,,,,,34.90,,,,,,34.90,,,,,,34.90,,,,,,34.90,,,,,,,,,,,,,,,,,,,,,,,,
ОФЗ-ПД 26212 19/01/28,SU26212RMFS9,35.15,,,,,,35.15,,,,,,35.15,,,,,,35.15,,,,,,35.15,,,,,,35.15,,,,,,35.15,,,,,,35.15,,,,,,35.15
ОФЗ-ПД 26215 16/08/23,SU26215RMFS2,,34.90,,,,,,34.90,,,,,,34.90,,,,,,34.90,,,,,,34.90,,,,,,34.90,,,,,,,,,,,,,,,,,
ОФЗ-ПД 26217 18/08/21,SU26217RMFS8,,37.40,,,,,,37.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ОФЗ-ПД 26218 17/09/31,SU26218RMFS6,,,42.38,,,,,,42.38,,,,,,42.38,,,,,,42.38,,,,,,42.38,,,,,,42.38,,,,,,42.38,,,,,,42.38,,,,
ОФЗ-ПД 26219 16/09/26,SU26219RMFS4,,,38.64,,,,,,38.64,,,,,,38.64,,,,,,38.64,,,,,,38.64,,,,,,38.64,,,,,,38.64,,,,,,38.64,,,,
ОФЗ-ПД 26220 07/12/22,SU26220RMFS2,,,,,,36.90,,,,,,36.90,,,,,,36.90,,,,,,36.90,,,,,,,,,,,,,,,,,,,,,,,,,
ОФЗ-ПД 26221 23/03/33,SU26221RMFS0,,,,38.39,,,,,,38.39,,,,,,38.39,,,,,,38.39,,,,,,38.39,,,,,,38.39,,,,,,38.39,,,,,,38.39,,,
ОФЗ-ПД 26222 16/10/24,SU26222RMFS8,,,,35.40,,,,,,35.40,,,,,,35.40,,,,,,35.40,,,,,,35.40,,,,,,35.40,,,,,,35.40,,,,,,35.40,,,
ОФЗ-ПД 26223 28/02/24,SU26223RMFS6,,,32.41,,,,,,32.41,,,,,,32.41,,,,,,32.41,,,,,32.41,,,,,,,32.41,,,,,32.41,,,,,,,,,,,
ОФЗ-ПД 26224 23/05/29,SU26224RMFS4,,,,,,34.41,,,,,,34.41,,,,,,34.41,,,,,,34.41,,,,,34.41,,,,,,34.41,,,,,,34.41,,,,,,34.41,,
ОФЗ-ПД 26225 10/05/34,SU26225RMFS1,,,,,36.15,,,,,,36.15,,,,,,36.15,,,,,,36.15,,,,,,36.15,,,,,,36.15,,,,,,36.15,,,,,,36.15,,
ОФЗ-ПД 26226 07/10/26,SU26226RMFS9,,,,39.64,,,,,,39.64,,,,,,39.64,,,,,,39.64,,,,,,39.64,,,,,,39.64,,,,,,39.64,,,,,,39.64,,,
ОФЗ-ПД 26227 17/07/24,SU26227RMFS7,,,,,,,36.90,,,,,,36.90,,,,,,36.90,,,,,,36.90,,,,,,36.90,,,,,,36.90,,,,,,36.90,,,,,,
ОФЗ-ПД 26228 10/04/30,SU26228RMFS5,,,,38.15,,,,,,38.15,,,,,,38.15,,,,,,38.15,,,,,,38.15,,,,,,38.15,,,,,,38.15,,,,,,38.15,,,
ОФЗ-ПД 26229 12/11/25,SU26229RMFS3,,,,,35.65,,,,,,35.65,,,,,,35.65,,,,,,35.65,,,,,,35.65,,,,,,35.65,,,,,,35.65,,,,,,35.65,,
ОФЗ-ПД 26230 16/03/39,SU26230RMFS1,,,,38.39,,,,,,38.39,,,,,,38.39,,,,,,38.39,,,,,,38.39,,,,,,38.39,,,,,,38.39,,,,,,38.39,,,
ОФЗ-ПД 26231 20/07/44,SU26231RMFS9,,1.25,,,,,,1.25,,,,,,1.25,,,,,,1.25,,,,,,1.25,,,,,,1.25,,,,,,1.25,,,,,,1.25,,,,,
ОФЗ-ПД 26232 06/10/27,SU26232RMFS7,,,,29.92,,,,,,29.92,,,,,,29.92,,,,,,29.92,,,,,,29.92,,,,,,29.92,,,,,,29.92,,,,,,29.92,,,
ОФЗ-ПД 26233 18/07/2035,SU26233RMFS5,,28.08,,,,,28.08,,,,,,28.08,,,,,28.08,,,,,,28.08,,,,,28.08,,,,,,28.08,,,,,28.08,,,,,,28.08,,,
ОФЗ-ПД 26234 16/07/2025,SU26234RMFS3,,,,,,,28.48,,,,,,,,28.48,,,,,,,28.48,,,,,,,,28.48,,,,,,,,28.48,,,,,,,28.48,,,,
ОФЗ-ПК 29006 29/01/25,SU29006RMFS2,,38.64,,,,,,38.64,,,,,,38.64,,,,,,38.64,,,,,,38.64,,,,,,38.64,,,,,,38.64,,,,,38.64,,,,,,38.64
ОФЗ-ПК 29007 03/03/27,SU29007RMFS0,,,38.10,,,,,,38.10,,,,,,38.10,,,,,,38.10,,,,,,38.10,,,,,,38.10,,,,,,38.10,,,,,,38.10,,,,
ОФЗ-ПК 29008 03/10/29,SU29008RMFS8,,,,37.65,,,,,,37.65,,,,,,37.65,,,,,,37.65,,,,,,37.65,,,,,,37.65,,,,,,37.65,,,,,,37.65,,,
ОФЗ-ПК 29009 05/05/32,SU29009RMFS6,,,,,37.30,,,,,,37.30,,,,,,37.30,,,,,,37.30,,,,,,37.30,,,,,,37.30,,,,,,37.30,,,,,,37.30,,
ОФЗ-ПК 29010 06/12/34,SU29010RMFS4,,,,,,36.80,,,,,,36.80,,,,,,36.80,,,,,,36.80,,,,,,36.80,,,,,,36.80,,,,,,36.80,,,,,,36.80,
ОФЗ-ПК 29012 16/11/22,SU29012RMFS0,,,,,31.81,,,,,,31.81,,,,,,31.81,,,,,,31.81,,,,,,,,,,,,,,,,,,,,,,,,,,
ОФЗ-ПК 29013 18/09/30,SU29013RMFS8,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,
ОФЗ-ПК 29014 25/03/26,SU29014RMFS6,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,
ОФЗ-АД 46011 20/08/25,SU46011RMFS1,,99.73,,,,,,,,,,,,99.73,,,,,,,,,,,,99.73,,,,,,,,,,,,99.73,,,,,,,,,,,
ОФЗ-АД 46012 05/09/29,SU46012RMFS9,,,59.39,,,,,,,,,,,,59.39,,,,,,,,,,,,59.39,,,,,,,,,,,,59.39,,,,,,,,,,
ОФЗ-АД 46018 24/11/21,SU46018RMFS6,,11.34,,,11.34,,,11.34,,,11.34,,,11.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ОФЗ-АД 46020 06/02/36,SU46020RMFS2,,34.41,,,,,,34.41,,,,,,34.41,,,,,,34.41,,,,,,34.41,,,,,,34.41,,,,,,34.41,,,,,,34.41,,,,,
ОФЗ-АД 46022 19/07/23,SU46022RMFS8,,,,,,,27.42,,,,,,27.42,,,,,,27.42,,,,,,27.42,,,,,,27.42,,,,,,,,,,,,,,,,,,
ОФЗ-АД 46023 23/07/26,SU46023RMFS6,24.41,,,,,,24.41,,,,,,24.41,,,,,,24.41,,,,,,24.41,,,,,,24.41,,,,,,24.41,,,,,,24.41,,,,,,24.41
ОФЗ-ИН 52001 16/08/23,SU52001RMFS3,,15.52,,,,,,15.52,,,,,,15.52,,,,,,15.52,,,,,,15.52,,,,,,15.52,,,,,,,,,,,,,,,,,
ОФЗ-ИН 52002 02/02/28,SU52002RMFS1,,13.71,,,,,,13.71,,,,,,13.71,,,,,,13.71,,,,,,13.71,,,,,,13.71,,,,,,13.71,,,,,,13.71,,,,,
